Press militar | Shoulders
Overhead Press | Shoulders
Press Arnold | Shoulders
Arnold Press | Shoulders
Elevaciones laterales | Shoulders
Lateral Raises | Shoulders
Elevaciones frontales | Shoulders
Front Raises | Shoulders
Elevaciones posteriores | Shoulders
Rear Delt Raises | Shoulders
Face pull | Shoulders
Encogimientos hombros | Shoulders
Shrugs | Shoulders
Press mancuernas | Shoulders
Dumbbell Shoulder Press | Shoulders
Press tras nuca | Shoulders
Behind Neck Press | Shoulders
Press máquina hombros | Shoulders
Machine Shoulder Press | Shoulders
Elev. laterales máquina | Shoulders
Machine Lateral Raise | Shoulders
Pájaros mancuernas | Shoulders
Bent-over Lateral Raise | Shoulders
Remo al cuello | Shoulders
Upright Row | Shoulders
Remo mentón cuerda | Shoulders
Rope Upright Row | Shoulders
Military Press | Shoulders
Seated Shoulder Press | Shoulders
Push Press | Shoulders
Landmine Press | Shoulders
High Pull | Shoulders
Cuban Press | Shoulders
Scaption | Shoulders
Reverse Machine Fly | Shoulders
Single-arm Cable Lateral | Shoulders
Kettlebell Shoulder Press | Shoulders
Handstand Push-up | Shoulders
Z Press | Shoulders
Log Press | Shoulders

Curl con barra | Arms
Barbell Curl | Arms
Curl barra Z | Arms
EZ Bar Curl | Arms
Curl concentrado | Arms
Concentration Curl | Arms
Curl martillo | Arms
Hammer Curl | Arms
Curl inclinado | Arms
Incline Dumbbell Curl | Arms
Curl araña | Arms
Spider Curl | Arms
Curl predicador | Arms
Preacher Curl | Arms
Curl polea baja | Arms
Cable Curl | Arms
Curl con cuerda | Arms
Rope Curl | Arms
Máquina de bíceps | Arms
Biceps Curl Machine | Arms
Curl alterno | Arms
Alternating Curl | Arms
Curl banco scott | Arms
Scott Curl | Arms
Press cerrado | Arms
Close-grip Bench Press | Arms
Extensión tríceps | Arms
Triceps Extension | Arms
Extensión mancuernas | Arms
Dumbbell Triceps Ext. | Arms
Patada tríceps | Arms
Triceps Kickback | Arms
Extensión polea alta | Arms
Overhead Cable Ext. | Arms
Extensión polea cuerda | Arms
Rope Pushdown | Arms
Extensión polea barra | Arms
Bar Pushdown | Arms
Máquina de tríceps | Arms
